Date,Price,Open,High,Low,Vol.,Change %
1/4/2024,138.04,139.85,140.63,138.01,18.25M,-1.65%
1/5/2024,137.39,138.35,138.81,136.85,15.44M,-0.47%
1/8/2024,140.53,138,140.64,137.88,17.65M,2.29%
1/9/2024,142.56,140.06,142.8,139.79,19.58M,1.44%
1/10/2024,143.8,142.52,144.52,142.46,16.64M,0.87%
1/11/2024,143.67,144.9,146.66,142.21,17.47M,-0.09%
1/12/2024,144.24,144.34,144.74,143.36,14.00M,0.40%
1/16/2024,144.08,143.43,145.84,143.06,19.20M,-0.11%
1/17/2024,142.89,142.91,143.41,140.51,17.88M,-0.83%
1/18/2024,144.99,143.44,145.59,143.35,18.88M,1.47%
1/19/2024,147.97,146.3,148.04,145.8,27.18M,2.06%
1/22/2024,147.71,148.71,150.01,147.58,21.83M,-0.18%
1/23/2024,148.68,147.72,148.86,147.19,14.11M,0.66%
1/24/2024,150.35,150.29,151.57,149.84,19.25M,1.12%
1/25/2024,153.64,151.74,154.76,151.22,21.50M,2.19%
1/26/2024,153.79,152.87,154.11,152.8,19.49M,0.10%
1/29/2024,154.84,153.64,155.2,152.92,20.91M,0.68%
1/30/2024,153.05,154.01,155.04,152.77,26.58M,-1.16%
1/31/2024,141.8,145.39,145.59,141.55,43.91M,-7.35%
2/1/2024,142.71,143.69,144.62,142.26,25.53M,0.64%
2/2/2024,143.54,140.89,143.88,138.17,42.14M,0.58%
2/5/2024,144.93,144.04,146.67,143.91,29.25M,0.97%
2/6/2024,145.41,145.96,146.74,144.52,21.52M,0.33%
2/7/2024,146.68,146.12,147,145.21,21.44M,0.87%
2/8/2024,147.22,146.97,147.61,146.42,18.24M,0.37%
2/9/2024,150.22,147.95,150.7,147.43,21.88M,2.04%
2/12/2024,148.73,149.54,150.59,148.56,17.24M,-0.99%
2/13/2024,146.37,146.07,148.04,145.11,18.14M,-1.59%
2/14/2024,147.14,147.37,147.83,145.55,16.65M,0.53%
2/15/2024,143.94,144.46,144.76,141.88,26.72M,-2.17%
2/16/2024,141.76,144.21,144.48,141.52,21.87M,-1.51%
2/20/2024,142.2,140.94,143.33,140.8,18.63M,0.31%
2/21/2024,143.84,142.64,143.98,141.91,16.50M,1.15%
2/22/2024,145.32,146.12,146.2,144.01,23.02M,1.03%
2/23/2024,145.29,144.97,145.96,144.79,14.52M,-0.02%
2/26/2024,138.75,143.45,143.84,138.74,33.51M,-4.50%
2/27/2024,140.1,139.41,140.49,138.5,22.36M,0.97%
2/28/2024,137.43,139.1,139.28,136.64,30.63M,-1.91%
2/29/2024,139.78,138.35,139.95,137.57,35.49M,1.71%
3/1/2024,138.08,139.61,140,137.98,28.55M,-1.22%
3/4/2024,134.2,136.54,136.63,132.86,43.57M,-2.81%
3/5/2024,133.78,132.74,134.02,131.55,28.45M,-0.31%
3/6/2024,132.56,134.24,134.74,131.95,23.18M,-0.91%
3/7/2024,135.24,133.89,135.82,132.66,24.11M,2.02%
3/8/2024,136.29,135.04,138.99,134.8,26.50M,0.78%
3/11/2024,138.94,137.07,139.98,137.07,22.54M,1.94%
